gege be ,	nv::nv cm::acc mark::comma
suwen i monggo gurun uttu doro be efule me weile ara me yabu re be ,	pn::2pl cm::gen nv::nv nv::nv nv::nv nv::nv cm::acc verb::vv e::cve nv::nv verb::vv e::cve verb::vv e::npst.ptcp cm::acc mark::comma
bi donji ci ,	pn::1sg verb::vv e::cve mark::comma
tere ci funce he cooha be ,	nv::nv cm::abl verb::vv e::pst.ptcp nv::nv cm::acc mark::comma
sin i harangga niyalma be gai fi ,	pn::2sg cm::gen nv::nv nv::nv cm::acc verb::vv e::cve mark::comma
jai men i geren baisin niyalma i usin ,	nv::nv pn::1pl.excl cm::gen nv::adj nv::nv nv::nv cm::gen nv::nv mark::comma
mao_wen_lung takūra ha emu giyansi be sere fi jafa ha seme wesibu fi beiguwan obu ha .	nn::prpn verb::vv e::pst.ptcp nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp comp verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::period
cooha be jobobu rakū ,	nv::nv cm::acc verb::vv e::npst.ptcp.neg mark::comma
muse i beye enteheme banji mbi o ,	nv::nv cm::gen nv::nv nv::nv verb::vv e::fve.npst ptcl mark::comma
abatai_age ,	nn::prpn mark::comma
suwen i monggo i cooha be gida fi niyalma ambula wa ha ,	pn::2pl cm::gen nv::nv cm::gen nv::nv cm::acc verb::vv e::cve nv::nv nv::nv verb::vv e::pst.ptcp mark::comma
yabu ∅ seme ,	verb::vv e::fve.imperative comp mark::comma
moo i toksikū fori me ,	nv::nv cm::gen nv::nv verb::vv e::cve mark::comma
tere ci ici ergi duin gūsa i cooha gene fi ,	nv::nv cm::abl nv::nv nv::nv nv::nv nv::nv cm::gen nv::nv verb::vv e::cve mark::comma
in i siyoo_beiguwan be holto me amban ara fi ,	pn::3sg cm::gen nn::prpn cm::acc verb::vv e::cve nv::nv verb::vv e::cve mark::comma
jeku jakūn tanggū tofohon hule ,	nv::nv nv::nv nv::nv nv::nv nv::nv mark::comma
diyacin_tabunang ,	nn::prpn mark::comma
dzung_bing_guwan de menggun duin yan ,	nv::nv cm::dat nv::nv nv::nv nv::nv mark::comma
orho turi be ,	nv::nv nv::nv cm::acc mark::comma
jalan goro yabu fi koro baha rahū ,	nv::nv nv::nv verb::vv e::cve nv::nv verb::vv e::fve.prv mark::comma
emu minggan boigon ,	nv::nv nv::nv nv::nv mark::comma
afabu ha weile be mute mbi ,	verb::vv e::pst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::comma
○ orin ilan de ,	mark::circle nv::nv nv::nv cm::dat mark::comma
dain dosi ka nergin de ,	nv::nv verb::vv e::pst.ptcp nv::nv cm::dat mark::comma
sin de bithe bene mbi ,	pn::2sg cm::dat nv::nv verb::vv e::fve.npst mark::comma
han i gisun be jurce rakū ,	nv::nv cm::gen nv::nv cm::acc verb::vv e::npst.ptcp.neg mark::comma
lung_king ni te he aniya jakūn biya i orin ilan de baha ha ,	nn::prpn cm::gen verb::vv e::pst.ptcp nv::nv nv::nv nv::nv cm::gen nv::nv nv::nv cm::dat verb::vv e::pst.ptcp mark::comma
manggūltai_beile ,	nn::prpn mark::comma
juwe jergi buce re weile be guwebu mbi .	nv::nv nv::nv verb::vv e::npst.ptcp nv::nv cm::acc verb::vv e::fve.npst mark::period
geren cooha i beile se ,	nv::adj nv::nv cm::gen nv::nv nv::nv mark::comma
tuttu tafula rakū niyalma gisun de akda me dosi fi ,	nv::nv verb::vv e::npst.ptcp.neg nv::nv nv::nv cm::dat verb::vv e::cve verb::vv e::cve mark::comma
suwen i non i beile se i amata i jalan waji ha ,	pn::2pl cm::gen nv::nv cm::gen nv::nv nv::nv cm::gen nv::nv cm::gen nv::nv verb::vv e::pst.ptcp mark::comma
sio_yan i boigon be han i te he dung_ging hecen de bi ci ,	nn::prpn cm::gen nv::nv cm::acc nv::nv cm::gen verb::vv e::pst.ptcp nn::prpn nv::nv cm::dat verb::vv e::cve mark::comma
○ mandarhan ,	mark::circle nn::prpn.person mark::comma
ere gisun de isibu rakū niyalma be fucihi abka sa kini ,	nv::nv nv::nv cm::dat verb::vv e::npst.ptcp.neg nv::nv cm::acc nv::nv nv::nv verb::vv e::fve.opt mark::comma
buyara me hubtu ume su me gaija ra ,	verb::vv e::cve nv::nv nv::nv verb::vv e::cve verb::vv e::npst.ptcp mark::comma
○ unege be wesibu fi fujiyang obu ha .	mark::circle nn::prpn.person cm::acc verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::period
ninggun tumen cooha be faksala fi unggi he ,	nv::nv nv::nv nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp mark::comma
niowanggiyaha i fe hūda i akdun niyalma be baica me tucibu fi ,	nn::prpn.plc cm::gen nv::adj nv::nv cm::gen nv::adj nv::nv cm::acc verb::vv e::cve verb::vv e::cve mark::comma
sain be sain ,	nv::adj cm::acc nv::adj mark::comma
ama sin i ūren be ilibu fi wece mbi ,	nv::nv pn::2sg cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::fve.npst mark::comma
liyoodung ni baru cooha jura fi ,	nn::prpn.plc cm::gen nv::nv nv::nv verb::vv e::cve mark::comma
han be te kini seme fonjibu ha manggi ,	nv::nv cm::acc verb::vv e::fve.opt comp verb::vv e::pst.ptcp nv::nv mark::comma
jakūnju olji baha ha .	nv::nv nv::nv verb::vv e::pst.ptcp mark::period
amban sa ,	nv::nv nv::nv mark::comma
alban i ihan de toron gida fi ,	nv::nv cm::gen nv::nv cm::dat nv::nv verb::vv e::cve mark::comma
be_tu_cang ni ergi de ilan ba de tuwa bi .	nn::prpn cm::gen nv::nv cm::dat nv::nv nv::nv cm::dat nv::nv verb::vv.npst mark::period
muse emu šanggiyan morin wa fi ,	pn::1pl.incl nv::nv nv::nv nv::nv verb::vv e::cve mark::comma
gimbasun se re ngge ,	nn::prpn.person verb::vv e::npst.ptcp nmlz::nmlz mark::comma
kemir_ho_wei i dudu ciyanši fudangga i omolo todo_age ,	nn::prpn cm::gen nv::nv nv::nv nv::adj cm::gen nv::nv nn::prpn mark::comma
da_he_šan ,	nn::prpn mark::comma
udu mute rakū bi cibe ,	nv::nv verb::vv e::npst.ptcp.neg verb::vv e::cve mark::comma
jase i tule susai ba ci ebsi sunja ba ci casi ,	nv::nv cm::gen nv::nv nv::nv nv::nv cm::abl nv::nv nv::nv nv::nv cm::abl nv::nv mark::comma
emu niyalma be jušen seme amasi unggi me ,	nv::nv nv::nv cm::acc nv::nv comp nv::nv verb::vv e::cve mark::comma
duin ihan ,	nv::nv nv::nv mark::comma
dagana ,	nn::prpn.person mark::comma
burhanggū juwe beile in i eme be unggi he ,	nn::prpn.person nv::nv nv::nv pn::3sg cm::gen nv::nv cm::acc verb::vv e::pst.ptcp mark::comma
mao_wen_lung ni giyansi be jafa fi benji he seme wesibu fi beiguwan obu ha .	nn::prpn cm::gen nv::nv cm::acc verb::vv e::cve verb::vv e::pst.ptcp comp verb::vv e::cve nv::nv verb::vv e::pst.ptcp mark::period
